timestamp,volume,low,deltaOpen,deltaClose,deltaHigh,utcTimestampInMinutes,open,close,high,SMA_14,EMA_14,RSI_14,BB_upper,BB_lower
2024-01-30 22:00:00,173747,107948,447,225,927,28444200,108395,108173,108875,108745.42857142857,108700.74640072664,25.285532994923855,109965.07732944343,107990.62267055658
2024-01-31 22:00:00,162527,107799,366,920,949,28445640,108165,108719,108748,108689.92857142857,108703.18021396309,38.78140340745019,109908.2126642037,107973.98733579631
2024-02-01 22:00:00,138671,107804,906,85,1171,28447080,108710,107889,108975,108574.85714285714,108594.62285210134,31.21939846117975,109913.08114980749,107817.2188501925
2024-02-04 22:00:00,127143,107233,617,190,628,28451400,107850,107423,107861,108480.0,108438.40647182116,33.42486270594108,109947.48691697227,107575.41308302773
2024-02-05 22:00:00,125558,107226,169,314,398,28452840,107395,107540,107624,108388.85714285714,108318.61894224501,34.277969443075406,109947.33360381243,107398.46639618756
2024-02-06 22:00:00,125733,107491,32,239,349,28454280,107523,107730,107840,108316.0,108240.13641661235,37.80487804878049,109813.900476251,107332.89952374899
2024-02-07 22:00:00,120112,107416,285,363,473,28455720,107701,107779,107889,108230.57142857143,108178.65156106403,35.07239141288068,109637.46986885715,107314.13013114285
2024-02-08 22:00:00,115901,107621,139,225,329,28457160,107760,107846,107950,108160.85714285714,108134.29801958884,37.55102040816327,109481.97183204802,107304.62816795199
2024-02-11 22:00:00,98719,107559,230,158,497,28461480,107789,107717,108056,108102.42857142857,108078.65828364366,39.12812333864965,109299.2297429035,107309.0702570965
2024-02-12 22:00:00,123000,107007,708,82,989,28462920,107715,107089,107996,107977.07142857143,107946.7038458245,28.497917177162464,109330.07279887344,107112.02720112656
2024-02-13 22:00:00,119104,106950,130,324,395,28464360,107080,107274,107345,107892.5,107857.00999971456,34.74226804123711,109292.51660783413,106995.38339216587
2024-02-14 22:00:00,115280,107238,16,485,610,28465800,107254,107723,107848,107834.85714285714,107839.14199975262,40.521494009866096,109218.69159204935,106966.50840795066
2024-02-15 22:00:00,121354,107320,352,443,555,28467240,107672,107763,107875,107794.21428571429,107828.98973311894,43.059282751890706,109086.30945222579,106977.69054777421
