volume,low,deltaOpen,deltaClose,deltaHigh,utcTimestampInMinutes
119626,109514,786,243,884,28799820
109036,109544,94,197,327,28804140
104053,109611,90,194,362,28805580
99806,109361,293,37,449,28807020
115588,109001,380,363,546,28808460
81260,109215,10,139,322,28809900
76895,108882,426,208,486,28814220
93487,108819,217,96,350,28815660
87700,108532,357,89,482,28817100
100221,108110,419,197,625,28818540
80863,108233,19,441,463,28819980
85040,108111,484,35,605,28824300
92750,107924,205,62,458,28825740
91569,107611,366,211,457,28827180
96580,107705,104,574,593,28828620
85090,107930,333,22,465,28830060
89778,107821,107,300,457,28834380
102825,107688,420,493,576,28835820
110389,108079,44,489,635,28837260
114933,108442,114,396,441,28838700
104004,108319,509,22,738,28840140
106621,108698,49,74,450,28844520
85609,108726,30,571,640,28845960
242147,106825,2423,464,2547,28847400
142652,107129,126,902,1119,28848840
131527,106870,1175,311,1181,28850280
104488,106287,756,267,992,28854600
122364,105948,513,287,684,28856040
133632,105559,652,83,977,28857480
141507,104961,665,340,865,28858920
134996,105163,83,170,765,28860360
111247,105284,10,697,789,28864680
130200,105234,738,728,774,28866120
108503,105068,831,367,1031,28867560
117194,104621,783,116,929,28869000
137208,103317,1411,855,1664,28870440
138428,104490,299,471,814,28874760
151206,104251,604,641,1196,28876200
133712,104744,37,922,1133,28877640
87114,105276,364,272,420,28879080
134370,105415,37,361,558,28880520
149989,104605,1035,371,1086,28884840
125794,104809,161,286,542,28886280
136035,104722,328,378,720,28887720
116790,105056,26,820,840,28889160
120012,105424,417,256,874,28890600
109589,105322,232,213,624,28894920
110667,104986,551,285,697,28896360
127727,104801,469,160,593,28897800
134902,104634,293,29,677,28899240
115719,104532,129,505,711,28900680
104664,104747,105,367,500,28905000
106884,104791,310,124,551,28906440
129131,103438,1470,58,1690,28907880
154022,103464,13,165,760,28909320
133884,103430,190,858,1046,28910760
95746,103842,425,223,612,28915080
63805,103836,165,91,265,28916520
67540,103906,94,322,394,28919400
85608,104050,97,190,390,28920840
89875,103716,549,349,869,28925160
92977,103442,508,118,803,28926600
123132,102242,1274,427,1513,28929480
96752,102520,21,560,579,28930920
144016,102946,34,950,1420,28935240
125757,103397,391,3,948,28936680
130370,102731,658,461,846,28938120
99050,102838,297,160,377,28939560
128690,102132,861,315,987,28941000
121015,101776,534,655,723,28945320
128129,102374,7,703,712,28946760
115975,102584,458,317,959,28948200
120783,102606,224,412,546,28949640
120316,102653,287,45,655,28951080
139960,102664,122,1503,1680,28955400
173176,103420,704,820,936,28956840
136193,103924,326,172,649,28958280
134207,103720,335,434,661,28959720
145819,104117,6,841,1099,28961160
161286,104537,251,380,797,28965480
145461,104136,737,171,794,28966920
143392,103823,438,376,616,28968360
139564,103860,309,62,816,28969800
166519,103502,322,84,836,28971240
224544,102109,283,1315,1390,28975560
159699,102723,622,1068,1153,28977000
144672,103696,29,329,730,28978440
128764,103524,472,305,533,28979880
145115,103055,767,204,1058,28981320
115649,102800,40,268,567,28985640
113070,102922,112,691,893,28987080
148965,103172,423,661,1128,28988520
165409,103731,66,925,938,28989960
134957,104473,157,415,671,28991400
93217,104670,183,165,395,28995720
113324,104350,385,105,513,28997160
120535,104009,436,214,606,28998600
128456,104162,0,854,874,29000040
132133,104494,417,102,565,29001480
147215,104529,204,152,754,29005800
138742,104565,66,583,628,29007240
139326,104750,364,99,540,29008680
143019,103969,839,15,957,29010120
147685,103598,379,160,601,29011560
158811,103884,125,997,1156,29015880
196332,104712,155,1546,1560,29017320
211277,106021,192,1871,1946,29018760
